,decision,created_at,id,id_str,full_text,source,retweet_count,favorite_count,reply,username_length,user_location
198,desirability,2021-02-05 10:56:18+00:00,1357644211479281665,1357644211479281665,"@kimfriedmans This does not mean that MPAs do not confer resilience, just that there are limits to such #resiliencethroughdiversity. If ocean warming events are frequent, intensive &amp; long enough, the limits to resilience will be breached &amp; the ecosystem altered, maybe even a regime shift",Twitter Web App,0,0,TRUE,8,United Kingdom
199,desirability,2021-02-05 10:50:48+00:00,1357642826532741120,1357642826532741120,"Another prominent example is heatwaves and coral bleaching in the Great Barrier Reef, one of the largest and arguably one of the best managed MPA. https://t.co/QJjOYtTz8O",Aviary (for iOS and macOS),1,0,FALSE,9,France
200,enabling context,2021-02-05 10:34:00+00:00,1357638599794167809,1357638599794167809,"The greatest quantities of ice lost were from floating sea ice, which is creating a positive feedback loop of increased ocean warming and further ice loss.  https://t.co/7yTMdhzhkF",MeetEdgar,75,118,FALSE,14,United States
201,desirability,2021-02-05 08:44:45+00:00,1357611105347018753,1357611105347018753,Ocean Warming Threatens Baby Sharks in the Great Barrier Reef https://t.co/4g7g7N7Hz0 via @smithsonianmag,Twitter Web App,0,0,FALSE,14,Unknown
202,desirability,2021-02-05 06:01:03+00:00,1357569910935805954,1357569910935805954,"Antarctic Peninsula hottest in three decades; rapid rate of ocean warming may be to blame, says study - World News , Firstpost
https://t.co/WlLF9QkdtX",No Source,0,6,FALSE,14,Sweden
203,enabling context,2021-02-05 03:27:26+00:00,1357531251716988931,1357531251716988931,Coral bleaching occurs when coral polyps expel algae that live inside their tissues. #savethecoral https://t.co/i7LmQvtTYn,Twitter for iPhone,0,0,FALSE,15,Unknown
204,enabling context,2021-02-05 00:01:18+00:00,1357479373473988608,1357479373473988608,"#WeekinReview! Coral bleaching caused by a disturbance in the metabolic equilibrium between coral and symbiotic algae and other ocean news, https://t.co/1moJwqwFl8  @EPFL_en @CoralCoE  @GBRFoundation @endangered @LostSpeciesDay @nature https://t.co/Kn1oEaCJMk",Hootsuite Inc.,0,0,FALSE,7,United States
205,enabling context,2021-02-04 15:04:53+00:00,1357344382332985347,1357344382332985347,"The environmental impacts deals with the impacts that we are all familiar with: rise in global temp (global warming), sea level rise, biodiversity changes(such as coral bleaching, species going extinct, certain species become more prominent, etc), drought, flooding, storms,etc.",Twitter for iPhone,0,4,TRUE,11,Unknown
206,desirability,2021-02-04 13:17:51+00:00,1357317445128753153,1357317445128753153,You shouldn't train damaged institutions or reject willingness to pay to divest from coral reef coral bleaching. Organize!,OceanCon_Bot,0,0,FALSE,12,Unknown
207,buzz,2021-02-04 12:31:39+00:00,1357305817654042624,1357305817654042624,"Implemented by a Consortium led by CSIR, MarcoSouth is one of the 2 G&amp;A Projects in Southern Africa. Along the coral bleaching service, it also delivers services in the field of #fisheries  and #aquaculture, ship traffic, safety at sea, #waterquality.  https://t.co/5YrvvVDS43 https://t.co/CnqkIvlnyF",Twitter Web App,1,2,FALSE,10,Ethiopia
208,enabling context,2021-02-04 12:16:59+00:00,1357302128751042560,1357302128751042560,Ocean warming https://t.co/a9VqpFr2O2,Twitter Web App,0,0,FALSE,12,United States
209,enabling context,2021-02-04 10:10:05+00:00,1357270194297700359,1357270194297700359,"The answer is 1.14 °C or 2.05 °F❕

This seemingly small 🌡️ increase has led to devastating changes: ocean warming means greater melting of ice packs, leading to a rise in ocean levels, which can cause floods and other natural disasters.

But we can still turn the tide. #IDW2021 https://t.co/BJKzF7lI2o",Twitter for iPad,0,1,TRUE,14,Unknown
210,buzz,2021-02-04 08:22:02+00:00,1357243002482229249,1357243002482229249,"MarCOSouth team (CSIR and Cordio-EA) working on the details of the MarCOSouth Coral Bleaching Service.  This service will be available on our website https://t.co/YEJBYxB1Fn within a few days time. 
@GMESAfrica @ug_gmes @nafcoast @CMEMS_EU @CopernicusEU @cop @CSIR @cordioea https://t.co/3G3mLCumG6",Twitter Web App,6,6,FALSE,10,South Africa
211,invitation,2021-02-04 01:54:07+00:00,1357145378794078209,1357145378794078209,We're hiring! Read about our latest job opening here: Coral Restoration Fellow - US Virgin Islands - https://t.co/zxEnz49zmN #Conservation #greenjobs,SafeTweet by TweetMyJOBS,3,1,FALSE,14,Unknown
212,invitation,2021-02-04 00:47:17+00:00,1357128561514196992,1357128561514196992,"#CoralRestorationJob

@nature_org is hiring a 6mo Coral Restoration Fellow in the US Virgin Islands, Job ID49347

The Coral Restoration Fellow performs and participates in lab and field-based coral restoration activities at the US Virgin Islands Coral Innovation Hub in St. Croix",Twitter Web App,29,41,FALSE,13,United States
213,enabling context,2021-02-04 00:26:50+00:00,1357123412083187713,1357123412083187713,"Ocean warming has impact wildlife, like marine mammals feeding, nutrition and survival but has exhibit the plasticity of some predators (unusual sightings). Extreme warm periods as well extreme response. #MarineMammal #pinnipeds #OceanWarming #ClimateChange",Twitter for Android,0,0,FALSE,14,Mexico
214,buzz,2021-02-04 00:14:03+00:00,1357120197019250688,1357120197019250688,"We monitored 9 football fields of coral restoration sites in 2020! 

Picture that when you are watching the #Superbowl this weekend, and read all about how this massive scale of monitoring is possible in Talking Science with The Coral Chronicles! https://t.co/dWrNOBQ4XU",Sprout Social,1,6,FALSE,8,United States
215,desirability,2021-02-03 23:14:00+00:00,1357105084044353536,1357105084044353536,"Warming waters cause the sharks to hatch early and underdeveloped, making them vulnerable to predation. https://t.co/Lzm5D6XU9j",Hootsuite Inc.,9,9,FALSE,14,United States
216,desirability,2021-02-03 22:46:33+00:00,1357098174020784129,1357098174020784129,"A study shows the oceanic mixed layer that works as a buffer to prevent extreme heating, becomes shallower and thinner every year, indicating the potential of increasing frequency and intensity of ocean warming events in the future. https://t.co/ESAm59ZfEk via ^YangY",GroupTweet,0,0,FALSE,15,Unknown
217,invitation,2021-02-03 20:51:04+00:00,1357069112342642688,1357069112342642688,"It’s always good to leave a place better than how you found it, and in some destinations, travelers can help protect coral reefs and marine environments by joining coral restoration efforts. Find out more: https://t.co/rdK2hg3ah3",Sprout Social,0,1,FALSE,8,United States
218,enabling context,2021-02-03 19:43:50+00:00,1357052192474161154,1357052192474161154,"These seas absorb massive amounts of heat &amp; CO2, and evidence suggests the water circulating around the continent is warming at a rate faster than previously thought. It's a reminder of the importance of protecting Antarctica and mitigating #climatechange https://t.co/SffkXZJIgm",Twitter Web App,0,1,TRUE,15,United States
219,invitation,2021-02-03 19:07:26+00:00,1357043035624906752,1357043035624906752,"Marine science ppl! I'm editing a Special Issue with contributions from ECR. There's a very nice submission dealing with ocean warming and microbes, but it's been impossible to secure one (1!) single reviewer the past two months. Everyone's busy. Anyone volunteering? Pls DM me!",Twitter Web App,6,2,FALSE,13,Norway
220,can do,2021-02-03 18:02:15+00:00,1357026631009923072,1357026631009923072,".@blairsmenagerie's Animal Corner: A major discovery helps explain coral bleaching (SPOILERS: yup, it's climate change &amp; rising CO2): https://t.co/LDyZE2CV57. And please be sure to click ""Like"" and the big, red ""Subscribe"" button while you're there. #BlairsAnimalCorner https://t.co/YdQZdHwcSz",Hootsuite Inc.,0,1,FALSE,10,United States
221,buzz,2021-02-03 17:43:58+00:00,1357022029136953346,1357022029136953346,"Great to see innovative and active ARC Marine , creator of Reef Cubes boosting large-scale coral restoration projects and provide eco-friendly marine habitats, back in the news. This time with the World Economic Forum, 

? #coralre…https://t.co/3EeYO3zhbC https://t.co/jSrkQqDnxG",LinkedIn,0,0,FALSE,11,United States
222,buzz,2021-02-03 17:31:00+00:00,1357018764512874497,1357018764512874497,"In January 2019, @greg_asner mapped the Hawaiʻian Islands' coral reefs. He later re-mapped to measure how a marine heatwave changed conditions. This data can guide management decisions such as where restoration might be most successful. 

https://t.co/YOHvFi7w7R by @LenfestOcean",TweetDeck,3,7,FALSE,11,United States
223,enabling context,2021-02-03 16:24:33+00:00,1357002042389106695,1357002042389106695,"""Atmospheric warming, ocean warming, ocean acidification, sea-level rise, deglaciation, desertification, eutrophication—these are just some of the by-products of our species’s success,"" @ElizKolbert writes in Under a White Sky @CrownPublishing 

https://t.co/cg0mra2BLw",Twitter Web App,0,0,TRUE,11,United States
224,buzz,2021-02-03 16:02:13+00:00,1356996424102268928,1356996424102268928,"A team from @UMaineDMC, @BigelowLab and @MaineDMR published their research on the effects of ocean warming and acidification on gene expression in American lobsters. The work was published in @Ecol_Evol with collaborators from @UPEI and @DalhousieU. https://t.co/HsOF78AJL4",TweetDeck,1,5,FALSE,6,United States
225,enabling context,2021-02-03 15:55:02+00:00,1356994615207936009,1356994615207936009,"The continental shelf and the sub-sea floor in the Arctic just north of Siberia is apparently deteriorating at a rapid rate, fueled  by ocean warming. Scientists believe the permafrost and shelf walls could release large amounts of methane soon. https://t.co/4vEEYE1tqL https://t.co/mnuso4OgyP",Buffer,0,0,FALSE,7,United States
226,enabling context,2021-02-03 13:40:12+00:00,1356960681040384004,1356960681040384004,"The 🌍 🌡️   is rising by1.14 °C!

This seemingly small 🌡️ increase has led to devastating changes: ocean warming means greater melting of ice packs, leading to a rise in ocean levels, which can cause floods and other natural disasters. 

But we can still turn the tide. #IDW2021 https://t.co/DAdFBiwiAX",Twitter for Android,1,3,FALSE,11,Egypt
227,desirability,2021-02-03 13:25:45+00:00,1356957047556886534,1356957047556886534,"@Nyctocorax We will definitely be talking about this. I teach underwater in Belize, and we see the coral bleaching that results there.",Twitter for iPad,0,1,TRUE,5,United States
228,buzz,2021-02-03 12:29:41+00:00,1356942937624629250,1356942937624629250,Jennifer Koss from @NOAACoral presenting an 'Update on Mission Iconic Reefs and other major restoration efforts underway in NOAA including the application of The Manager’s Guide to Coral Restoration Planning and Design' during the #ICRIGM35 https://t.co/H1zWz9WeTZ,Twitter Web App,3,13,FALSE,15,Unknown
229,desirability,2021-02-02 21:35:34+00:00,1356717925772615686,1356717925772615686,"Many people may not be aware of Coral bleaching but it is a very important and bad thing. It affects the coral communities, along with the environment. This can also affect fishermen and people who are interested in coral reefs. This is caused by global warming and other things. https://t.co/tW3BCj8ZxM",Twitter for iPhone,0,1,FALSE,15,Unknown
230,enabling context,2021-02-02 21:21:16+00:00,1356714327202541571,1356714327202541571,"Why we must act now to stop at 1.5 ⁰. 2.0 ⁰ of ocean warming is catastrophic for our planet, it's animals, populations &amp; feeding them . https://t.co/wFHCB66tLR",Twitter for Android,0,0,FALSE,15,United Kingdom
231,enabling context,2021-02-02 21:01:30+00:00,1356709351847825410,1356709351847825410,American lobster postlarvae alter gene regulation in response to ocean warming and acidificat... https://t.co/8rCUeWtzcx,Transcriptomics feed,0,0,FALSE,14,Unknown
232,invitation,2021-02-02 20:08:40+00:00,1356696055715258369,1356696055715258369,"High oceanic heat stress capable of causing severe, widespread coral bleaching and mortality continues in Papua New Guinea &amp; is projected to remain for the next few months. Please continue sharing bleaching observations with your local monitoring networks and @CoralReefWatch! https://t.co/mQa9M0fTRF",Twitter Web App,14,20,FALSE,14,United States
233,enabling context,2021-02-02 19:35:27+00:00,1356687696048115716,1356687696048115716,"Video recording of ECS &amp; cloud feedback symposium #7 is now on-line: 

Emily Newsom @embonewsom (Univ. of Oxford): ""The influence of geostrophic adjustment on ocean warming patterns""

... cont'd next tweet
https://t.co/ReRiOyMquh",Twitter Web App,3,11,FALSE,13,United States
234,buzz,2021-02-02 18:33:14+00:00,1356672040200269824,1356672040200269824,🧬Find our updated page on genetic considerations for #coral #restoration - thanks to the work &amp; collaboration with @CoralConsortium including @IlianaBaums and others of the Genetics Working Group! https://t.co/wCM0IPy0pr,Twitter Web App,2,7,FALSE,10,United States
235,buzz,2021-02-02 18:19:29+00:00,1356668577097605120,1356668577097605120,This offers hope that coral reef restoration using the microfragmentation-fusion method that could change the way coral restoration is implemented. #RutgersSciCom,Twitter Web App,0,2,TRUE,12,United States
236,buzz,2021-02-02 18:06:03+00:00,1356665197256204288,1356665197256204288,#TV crews have come to #film our #eco activities from all over the #world. The latest crew from WDR Germany has just finished filming a segment of our #coral #restoration methods. https://t.co/n0hYRJCVl9 https://t.co/7JA0c9aXwS,Buffer,1,2,FALSE,9,Thailand
237,enabling context,2021-02-02 16:45:16+00:00,1356644870186799106,1356644870186799106,Part of working on coral restoration issues means investigating why some corals do better than others under extreme conditions. Watch this video for more on “super corals” https://t.co/WO3eMHKSt6 #OceanDecade #GenerationRestoration https://t.co/VBlXt5y3jd,Hootsuite Inc.,8,29,FALSE,9,United States
238,buzz,2021-02-02 16:34:06+00:00,1356642058119729152,1356642058119729152,"@joeykim I once had my students in a writing class write poems based on their research essays, and they ""got in their feelings"" about ocean warming, plastic pollution, etc.",Twitter Web App,0,1,TRUE,11,United States
239,enabling context,2021-02-02 15:53:11+00:00,1356631759501357056,1356631759501357056,"All ears for another great study from #Kiritimati Island, a reef still recovering from 2015/16 coral bleaching and mortality event. https://t.co/BDQcxg453p",Twitter for iPhone,0,9,FALSE,12,United States
240,buzz,2021-02-02 15:29:50+00:00,1356625884288057344,1356625884288057344,"Print day is here! We're running an omics theme, including a guest editorial from @1jvaneyk and @JohnRYatesIII, our ""Gurus of Omics"" cover feature, and an interview with Amanda Hummon (@HummonLabOSU). Also on offer: reintroductions with our EAB, coral bleaching &amp; space microbes! https://t.co/eBzuWdRpwD",Twitter Web App,7,18,FALSE,13,Unknown
241,buzz,2021-02-02 15:20:05+00:00,1356623429433139202,1356623429433139202,"Check out our updated webpage on genetic considerations for coral reef restoration developed with the Coral Restoration Consortium Genetics Working Group. 
Access it here: https://t.co/9OCUi7TLSw
  #reefresilience #restoration #coralgenetics  @CoralConsortium https://t.co/wPXCDAKaMH",Twitter Web App,2,14,FALSE,14,Unknown
242,enabling context,2021-02-02 14:06:56+00:00,1356605023237586950,1356605023237586950,"@srzjwalters Mangroves counteract ocean acidification in adjacent tropical waters while filtering excess nutrients, two of the factors exacerbating coral bleaching.",Twitter Web App,1,0,TRUE,8,Unknown
243,desirability,2021-02-02 14:00:02+00:00,1356603285143224320,1356603285143224320,"Coral bleaching pushes alarm buttons
https://t.co/UrvHyrjXPa https://t.co/pcjEfHoePS",TweetDeck,0,0,FALSE,11,Unknown
244,enabling context,2021-02-02 13:59:46+00:00,1356603219326210049,1356603219326210049,Jennifer Marohasy Interview - Coral Bleaching Deception - Major Lunar St... https://t.co/GrVI6xNgLz via @YouTube,Twitter Web App,0,1,FALSE,12,Unknown
245,buzz,2021-02-02 10:54:12+00:00,1356556521027620864,1356556521027620864,"Volunteer to help the coral restoration effort. Healthy coral is a vital part of the ocean environment, restoring reefs brings great benefits to the waters here and around the world. 🐠 🐟 🌊 🌎 https://t.co/szej0FsMUA",Twitter for iPhone,0,1,FALSE,8,Unknown
246,can do,2021-02-02 10:35:38+00:00,1356551845431312385,1356551845431312385,"Pollution muddy landscapes, damage soil and erode water ways.
Long term exposure to pollution may lead to chronic respiratory diseases. 
Ocean warming and acidification stem from pollution. 
Reduce pollution with #friendoftheearth
#environment https://t.co/aWWReDYNwx",Twitter Web App,0,1,FALSE,10,Unknown
247,enabling context,2021-02-02 09:21:14+00:00,1356533121643077633,1356533121643077633,"Thanks to @cordioea , here is the second Western Indian Ocean Coral bleaching alert for 1st February 2021: 
Based on the latest conditions, bleaching watch and warning are shown for most stations in the region... more at https://t.co/iOFISuJbJs",Twitter Web App,4,5,FALSE,15,Unknown
248,desirability,2021-02-02 07:17:43+00:00,1356502038599897088,1356502038599897088,Our latest WIO Coral bleaching alert-21-02-01-shows that heat is building up in the south WIO  warranting a risk level of ‘moderate bleaching’ in the region. See full alert  https://t.co/5t3DjTYZqq via @yumpu_com,Twitter Web App,4,2,FALSE,8,Kenya
249,desirability,2021-02-02 06:04:44+00:00,1356483672266792960,1356483672266792960,"50% of phytoplankton - the bottom of the world oceans food chain &amp; source of 50 to 70% of Earth's oxygen - has died due mainly to ocean warming. Fish, sea birds and blue whales ARE STARVING TO DEATH.  Do you think you could survive when the oceans are dead? Would you want to?",Twitter Web App,0,0,FALSE,15,United States
250,desirability,2021-02-02 05:30:20+00:00,1356475016116920322,1356475016116920322,"#ocean warming 🌡️&amp; degradation is threatening the fragile #marine life🦀; urgent need to step up efforts to conserve the coastal ecosystem &amp; develop strategies backed by scientific research for coastal #resilience 🌊

 @IUCN @auctusESG 
https://t.co/HbL39Ezyjb",Twitter Web App,0,4,FALSE,10,Unknown
251,buzz,2021-02-02 00:07:57+00:00,1356393884515897346,1356393884515897346,"New paper on coral bleaching under thermal stress concludes that ""nutritional status of the host may thus be a better proxy of the resilience of corals to heat stress than symbiont-centered metrics or the thermal bleaching threshold itself"". Read here⬇️
https://t.co/yWmHc9VDGc",Twitter Web App,3,21,FALSE,9,United States
252,enabling context,2021-02-01 23:23:17+00:00,1356382643420540931,1356382643420540931,"MissionBlue: Between coral bleaching and the threat of a new port project, the Datan Algal Reef Hope Spot and surrounding areas are experiencing some significant challenges.

via @physorg_com https://t.co/LhBmMpcXE4",IFTTT,2,2,FALSE,12,United States
253,enabling context,2021-02-01 18:41:20+00:00,1356311690791497728,1356311690791497728,What is nitrogen pollution? Nitrogen pollution is one of the major causes of coral bleaching all over the world. The nitrogen mostly comes from farming and agriculture through the fertilizers farmers use for their crops. It runs into the waterways close to farms. Pollution waters,Twitter Web App,0,2,FALSE,15,Unknown
254,enabling context,2021-02-01 17:13:08+00:00,1356289491623936001,1356289491623936001,"This publication investigates the risk from multiple drivers: #sea‐level rise; rainfall, #ocean–atmosphere &amp; tropical cyclone; ocean warming &amp; acidification, to 5 Habitability Pillars: Land, Freshwater supply, Food supply, Infrastructure &amp; Economy.

👉https://t.co/BGWtAL4F3K https://t.co/Awf7UKxUSE",Twitter Web App,5,7,FALSE,13,France
255,enabling context,2021-02-01 13:54:01+00:00,1356239385847595009,1356239385847595009,"‘In recent years, understanding how the #SouthernOcean is changing as a result of increased emissions has taken on greater urgency as scientists have learned more about the fragility of large parts of the #Antarctic ice sheet.’ Learn more: https://t.co/54b3KWaVqd @washingtonpost https://t.co/Nj4LJbnuiy",Sprout Social,5,18,FALSE,15,United States
256,desirability,2021-02-01 13:29:15+00:00,1356233151048278017,1356233151048278017,"“These fatty acids are crucial to signal transduction in the brain, so it’s possible that our collective intelligence is now rapidly dropping because of an ocean-warming-caused diminishment in brain power”
https://t.co/dzTxlSK0jV",Twitter for iPhone,0,0,FALSE,8,Unknown
257,desirability,2021-02-01 11:42:00+00:00,1356206159343054853,1356206159343054853,"Polluted and being depleted of oxygen our oceans are dying absorbing more than 90% of  excess heat unleashed by human activity.
 “oceans control both the temperature and the humidity level in the atmosphere. Consequently, oceans control the weather.” https://t.co/7eWgbtKhN4",Twitter Web App,21,32,FALSE,12,Unknown
258,desirability,2021-02-01 10:23:13+00:00,1356186335657254915,1356186335657254915,"Major discovery helps explain coral bleaching https://t.co/CNSewGqKN0 via @physorg_com Corals, like all animals, must eat to live. The problem is that most corals grow in tropical waters that are poor in nutrients, sort of like ocean deserts;",Twitter Web App,5,1,FALSE,12,Unknown
259,can do,2021-02-01 09:17:51+00:00,1356169884607143937,1356169884607143937,You must use restrictive shark sanctuaries and eradicate seafood cooks to replicate western coral bleaching. Make this viral!,OceanCon_Bot,0,0,FALSE,12,Unknown
260,desirability,2021-02-01 08:15:01+00:00,1356154071200264194,1356154071200264194,"Coral reefs cover only 0.1% of world’s ocean but support over 25% of marine #biodiversity 🌊But, coral reefs are very sensitive to #climatechange and warming seas and 50% of our coral reefs have already been lost! 

Read @UNEP report on coral restoration: https://t.co/KBqjFpIDAI",Twitter Web App,0,1,TRUE,15,Zambia
261,desirability,2021-02-01 08:09:40+00:00,1356152726753845250,1356152726753845250,"An example of warm water is a hot soup, but main life is in threat more before to arrive there https://t.co/0lbZrsN8NN #ClimateEmergency 
Great Barrier Reef on brink of third major coral bleaching in five years, scientists warn https://t.co/l9ulAYQx26",Twitter for iPhone,0,0,FALSE,11,Spain
262,desirability,2021-02-01 05:26:18+00:00,1356111613741379584,1356111613741379584,"The  Guardian does a whole article about the oceans warming and the implications but leaves out a teeny tiny one - the depleting atmospheric oxygen. Can you see the crowd control now? 🤦

https://t.co/ivjWZmct1d",Twitter for Android,0,1,FALSE,13,Armenia
263,desirability,2021-02-01 05:02:25+00:00,1356105602200698880,1356105602200698880,"@chercher_ai Hhhhh. There are other, better conservation projects than Giant Pandas. If coral reefs got half the money and resources pandas did, for example, it would do wonders towards coral bleaching and death.",Twitter for Android,0,1,TRUE,11,Unknown
264,can do,2021-02-01 04:37:19+00:00,1356099283989262338,1356099283989262338,Speak Up for Our Coral Reefs! https://t.co/wr2Goi13Gu!,Twitter for Android,1,1,FALSE,13,United States
265,buzz,2021-02-01 04:19:43+00:00,1356094856142024704,1356094856142024704,"Fairmont Maldives Sirru Fen Fushi announces the relaunch of their coral restoration program and now you can be a part of it too!

@FairmontHotels #Maldives #SirruFenFushi | #coralglassmedia #coralglass #thinkislander 
https://t.co/TiAEuPfqHQ",Twitter Web App,0,0,FALSE,12,Maldives
266,desirability,2021-01-31 21:17:52+00:00,1355988692553363461,1355988692553363461,"@dianecope1958 It's horrible, isn't it?  When I got my baccalaureate in Biology my thesis was on coral bleaching...

The reefs are disappearing fast.  I fear that it may be too late to save them.

Yes, overfishing has not helped.  I can understand nations that rely on it for food, though.",Twitter Web App,0,0,TRUE,15,United States
267,buzz,2021-01-31 21:04:40+00:00,1355985373944406020,1355985373944406020,"@Stocks_Growth90 @elonmusk He can inspire ...Lead from the front. Fund organisations working for increasing earth green cover , coral restoration , vegan diet manufacturing companies etc etc...And should inspire a simple living .",Twitter Web App,0,2,TRUE,10,Unknown
268,desirability,2021-01-31 21:03:39+00:00,1355985117051641857,1355985117051641857,"@GoWildTech @zalisteggall Even Lord Howe is showing signs - increasing temps, less rainfall, coral bleaching, burning of canopy on Mt Gower and some large trees dying. https://t.co/i4yPgBSsyl",Twitter for iPhone,0,1,TRUE,7,Australia
269,desirability,2021-01-31 20:59:03+00:00,1355983958710882304,1355983958710882304,@schlichting1103 I know all about coral bleaching. I want to get to the Maldives before their reefs are no longer (el Nino). Some are already bleached. Others are only a few feet above sea level and global warming will make the islands inhospitable. Don't get me started on fishing issues!,Twitter Web App,1,1,TRUE,13,United Kingdom
270,buzz,2021-01-31 17:48:12+00:00,1355935929551216645,1355935929551216645,"@dianecope1958 Cool.  Well I applaud you for your fight for the reefs.  Please keep us posted on Twitter about your trek to Thailand...

Coral bleaching (due to warming ocean temperatures) is destroying the great diversity that once existed in our oceans; it's only a matter of time now.",Twitter Web App,0,1,TRUE,15,United States
271,desirability,2021-01-31 17:36:00+00:00,1355932860931256322,1355932860931256322,"The vast ocean separating Australia &amp; Antarctica has the ability to absorb large amounts of heat causing CO2. But these southern waters are warming faster than we thought, threatening to speed up Antarctic ice melt.
Via @washingtonpost 
https://t.co/kZBuqDuRxp",Sprout Social,0,2,FALSE,12,Unknown
272,buzz,2021-01-31 16:44:32+00:00,1355919908408877061,1355919908408877061,"Did you know that coral restoration is becoming a growing tool in many countries, our( @provita_ong ) @redlisteco allies cite the case of Fiji Learn more at: https://t.co/SdsTIJFLIK #Corals @IUCN_Oceania @IucnOcean https://t.co/6uA3Jny7vR",Twitter for Android,0,1,FALSE,13,Greece
273,can do,2021-01-31 14:46:07+00:00,1355890105429450754,1355890105429450754,"They say dress for the job you want...

Limited edition mesh snapback hats are back in stock at https://t.co/f3MELxXk9y! Get yours now while supplies last! 

100% of your purchase funds our coral restoration initiatives!

📷 : Garret Fundakowski/Coral Restoration Foundation™ https://t.co/SACVyIzyPM",Sprout Social,0,10,FALSE,8,United States
274,enabling context,2021-01-31 13:49:48+00:00,1355875936521121792,1355875936521121792,"This recent paper by Radecker et al. provides major new insight into the metabolic changes that trigger coral bleaching.
 https://t.co/DVpeZs5NyW",Twitter for iPad,1,2,FALSE,10,United Kingdom
275,buzz,2021-01-31 13:11:02+00:00,1355866180318339073,1355866180318339073,"will support coral growth after we’ve returned them to the wild!
Today, our coral restoration sites have been selected based on a number of criteria that set our corals up for survival, including diverse topography and historical restoration success!",Twitter Web App,0,0,TRUE,12,Unknown
276,buzz,2021-01-31 13:10:40+00:00,1355866087989125121,1355866087989125121,"Coral Restoration Foundation
Eeny, Meeny, Miny, Moe, where should restored coral go?!
Over many years, we have worked in tandem with scientists from National Oceanic and Atmospheric Administration (NOAA) and the NOAA Florida Keys National Marine Sanctuary to learn which reefs https://t.co/WzMB8Bu1SF",Twitter Web App,0,0,FALSE,12,Unknown
277,enabling context,2021-01-31 06:59:55+00:00,1355772783742111752,1355772783742111752,"Press Herald advances research exploring genetic response of lobsters to ocean warming, acidification – UMaine News – University of Maine https://t.co/ecL6jlw3UX",WordPress.com,0,0,FALSE,8,Unknown
278,desirability,2021-01-31 03:21:52+00:00,1355717910409342979,1355717910409342979,"Ocean warming is real and causing havoc in the Pacific. While our #Fijicorals are tough and haven’t been extensively bleach despite 30 C + temps, that heat is driving cyclone activity that is pummeling the islands now. @wcsfiji @wcsmelanesia @WCSocean https://t.co/FmezEJ3qxk",Twitter for iPhone,22,29,FALSE,13,Unknown
279,buzz,2021-01-31 02:38:52+00:00,1355707088752701444,1355707088752701444,"Maui today -

3 dives.. documenting Molokini coral bleaching + coral cutting samples for lab  next week.

Good to see marine life making a comeback due to Tourism COVID lull. 

Aloha!",Twitter for iPhone,0,2,FALSE,11,Unknown
280,enabling context,2021-02-13 19:37:10+00:00,1360674394243227649,1360674394243227649,Scientists can tell how some corals survive climate-related coral bleaching events | CBC Radio https://t.co/Gjb0SXIzA3,Twitter for iPhone,1,3,FALSE,10,United States
281,invitation,2021-02-13 18:06:03+00:00,1360651464977371141,1360651464977371141,The #cable tie method of #coral #restoration can be very effective for securing transplants . Learn to help with #marine #conservation efforts with our #internship placements and #eco courses . https://t.co/n0hYRJCVl9 https://t.co/mr4k5Teb1o,Buffer,2,2,FALSE,9,Thailand
282,invitation,2021-02-13 16:58:40+00:00,1360634508148695042,1360634508148695042,About to air live on @cbcradio talking about coral bleaching with @CBCQuirks at noon. Listen in Canada! My home and native land,Twitter for iPhone,0,2,FALSE,10,United States
283,enabling context,2021-02-13 16:20:00+00:00,1360624775190749189,1360624775190749189,"How scientists might have unlocked the key to identify heat-resistant corals

“Right away we could tell the corals that had bleached or had not bleached were totally different in their biochemistry.” 

https://t.co/U5wAJcJaMZ

@Quinn_Labs @uhmanoa @michiganstateu @GatesCoralLab",TweetDeck,3,2,FALSE,9,Unknown
284,desirability,2021-02-13 14:03:24+00:00,1360590398150836232,1360590398150836232,"#radioday 📻 ""Since the 1970s, there has been a doubling of the rate of warming and a significant rise in the frequency of marine heatwaves. Ocean warming could lead to large scale disappearance of corals."" Listen to Alison Clausen, IOC-UNESCO. 👉 https://t.co/olRNPtThiz https://t.co/AlvVheZsWn",Twitter for iPhone,5,9,FALSE,13,France
285,enabling context,2021-02-13 12:04:45+00:00,1360560541421481986,1360560541421481986,"@MarkMellors @TarcyK Coral 'bleaching' and ocean 'acidification' are two different things

The only thing they have in common is that they are (deliberately?) scarily misnamed",Twitter Web App,0,0,TRUE,12,United Kingdom
286,buzz,2021-02-13 10:12:00+00:00,1360532164929028096,1360532164929028096,"Science Saturday: Beyond Coral Foundation 

They use #art, commerce, &amp; #technology to develop #coral #restoration #farms &amp; more! 

Read about their work --&gt; https://t.co/he9v5Z1FjQ

#CHARM #coral #husbandary https://t.co/qlIoZ7D3C6",Twitter Web App,1,0,FALSE,15,Unknown
287,desirability,2021-02-13 09:51:00+00:00,1360526881146220544,1360526881146220544,"The greatest quantities of ice lost were from floating sea ice, which is creating a positive feedback loop of increased ocean warming and further ice loss. https://t.co/62yMDvFcY1",MeetEdgar,85,127,FALSE,14,United States
